DATE,Germany,France,Japan,UK,Switzerland,Canada,Australia
2000-01-31,5.53952380952381,5.66,1.6909999999999998,5.8227,3.784,6.4915,7.177894737000001
2000-02-29,5.508571428571429,5.62,1.796,5.6347,3.868,6.338571428571429,6.957619048
2000-03-31,5.33304347826087,5.43,1.819,5.3707,4.155,6.02826086956522,6.570434783
2000-04-30,5.22555555555556,5.33,1.74,5.3213,4.0760000000000005,5.924210526315791,6.264705882
2000-05-31,5.37818181818182,5.5,1.705,5.4033,4.19,6.215,6.465652174
2000-06-30,5.19136363636364,5.32,1.664,5.2097,4.008,5.895454545454551,6.172380952
2000-07-31,5.266190476190481,5.4,1.689,5.2388,3.976,5.8635,6.161904762000001
2000-08-31,5.210434782608701,5.36,1.75,5.3312,3.84,5.76636363636364,6.227391304
2000-09-30,5.263333333333329,5.42,1.876,5.3873,3.954,5.7295,6.136190476
2000-10-31,5.20714285714286,5.36,1.815,5.2179,3.927,5.723333333333329,6.107954545
2000-11-30,5.15363636363636,5.29,1.764,5.0983,3.771,5.72714285714286,5.989545455
2000-12-31,4.890526315789471,5.04,1.624,4.9118,3.552,5.40210526315789,5.543157895
2001-01-31,4.80318181818182,4.94,1.508,4.8471,3.497,5.41863636363636,5.40547619
2001-02-28,4.7775,4.93,1.415,4.8248,3.492,5.43,5.32125
2001-03-31,4.6677272727272685,4.84,1.169,4.703,3.327,5.30136363636364,5.130681818
2001-04-30,4.827894736842112,5.0,1.315,4.9468,3.529,5.5915,5.5772222220000005
2001-05-31,5.046818181818179,5.21,1.25,5.1153,3.556,5.85136363636364,5.943478261
2001-06-30,5.0,5.15,1.152,5.1951,3.383,5.71809523809524,5.89675
2001-07-31,5.01590909090909,5.15,1.305,5.2037,3.357,5.80047619047619,6.086363636000001
2001-08-31,4.82391304347826,4.95,1.343,4.9854,3.317,5.530909090909089,5.761521739
2001-09-30,4.813,4.94,1.346,4.9876,3.302,5.30263157894737,5.57825
2001-10-31,4.5995652173913,4.72,1.3630000000000002,4.8253,3.005,5.232727272727272,5.4076086960000005
2001-11-30,4.447727272727271,4.57,1.328,4.6271,3.261,5.177142857142861,5.457727273
2001-12-31,4.73588235294118,4.87,1.334,4.8928,3.555,5.40842105263158,5.816842105
2002-01-31,4.8627272727272715,4.93,1.42,4.9171,3.59,5.34363636363636,5.858333332999999
2002-02-28,4.9195,4.99,1.501,4.9251,3.61,5.321000000000001,5.94575
2002-03-31,5.161,5.24,1.421,5.2202,3.636,5.667000000000001,6.309
2002-04-30,5.1552380952381,5.24,1.394,5.2331,3.528,5.658636363636361,6.294
2002-05-31,5.1677272727272685,5.26,1.365,5.2689,3.465,5.59590909090909,6.215217391
2002-06-30,5.0175,5.11,1.328,5.099,3.299,5.424,6.007631579
2002-07-31,4.86739130434783,4.96,1.296,5.0027,3.248,5.2904545454545495,5.859782609
2002-08-31,4.5895454545454495,4.67,1.255,4.746,3.192,5.12047619047619,5.648409091
2002-09-30,4.38523809523809,4.46,1.129,4.5006,2.761,4.8855,5.4357142860000005
2002-10-31,4.46391304347826,4.55,1.095,4.6160000000000005,2.863,5.1272727272727305,5.659130435
2002-11-30,4.47761904761905,4.53,0.979,4.6378,2.799,5.0895,5.49952381
2002-12-31,4.33555555555556,4.38,0.975,4.5644,2.396,4.9675,5.395
2003-01-31,4.18,4.22,0.8359999999999999,4.3899,2.396,4.961818181818179,5.275
2003-02-28,3.955,4.01,0.8279999999999998,4.2131,2.375,5.012,5.16775
2003-03-31,4.0004761904761885,4.1,0.724,4.3243,2.537,4.99714285714286,5.271666667
2003-04-30,4.147,4.22,0.6629999999999999,4.4663,2.659,5.05190476190476,5.346052632
2003-05-31,3.815238095238101,3.89,0.577,4.2197,2.358,4.67190476190476,5.028181818
2003-06-30,3.6166666666666702,3.69,0.529,4.1127,2.607,4.28809523809524,4.80275
2003-07-31,3.97260869565217,4.01,0.956,4.4078,2.6660000000000004,4.68318181818182,5.232826087
2003-08-31,4.13,4.16,1.406,4.604,2.875,4.902,5.524047619
2003-09-30,4.17136363636364,4.23,1.42,4.7132,2.777,4.757142857142861,5.512954545
2003-10-31,4.22130434782609,4.28,1.4369999999999998,4.9071,2.882,4.815454545454551,5.608695652000001
2003-11-30,4.353,4.41,1.333,5.065,2.9930000000000003,4.85684210526316,5.874
2003-12-31,4.291052631578952,4.34,1.33,4.896,2.78,4.729047619047621,5.757380952
2004-01-31,4.17095238095238,4.2,1.33,4.7875,2.852,4.58619047619048,5.7005
2004-02-29,4.11,4.14,1.211,4.8056,2.681,4.4515,5.6205
2004-03-31,3.9134782608695695,3.98,1.418,4.7088,2.632,4.260434782608701,5.415434783
2004-04-30,4.097,4.18,1.52,4.957,2.809,4.612857142857139,5.803
2004-05-31,4.253333333333329,4.34,1.505,5.1118,2.888,4.773,5.958095238
2004-06-30,4.312727272727272,4.39,1.807,5.2,3.04,4.93272727272727,5.84547619
2004-07-31,4.2368181818181805,4.27,1.808,5.1083,2.957,4.75,5.717727273
2004-08-31,4.0804545454545496,4.11,1.588,5.0071,2.825,4.63095238095238,5.583181818
2004-09-30,4.01636363636364,4.09,1.393,4.9109,2.75,4.60238095238095,5.412045455
2004-10-31,3.894761904761899,3.98,1.483,4.7683,2.623,4.55,5.401428571
2004-11-30,3.7804545454545497,3.86,1.452,4.6903,2.443,4.484761904761911,5.4
2004-12-31,3.57952380952381,3.64,1.3969999999999998,4.5316,2.382,4.3204761904761915,5.231904762
2005-01-31,3.5647619047619,3.58,1.31,4.5419,2.249,4.2605,5.351842105
2005-02-28,3.5439999999999996,3.6,1.419,4.5884,2.381,4.205,5.39775
2005-03-31,3.69619047619048,3.75,1.325,4.796,2.355,4.35818181818182,5.652619047999999
2005-04-30,3.4823809523809506,3.54,1.257,4.6218,2.074,4.19380952380952,5.472
2005-05-31,3.30409090909091,3.38,1.238,4.4173,2.014,4.07380952380952,5.287727273
2005-06-30,3.1263636363636405,3.2,1.143,4.2847,1.999,3.82818181818182,5.14047619
2005-07-31,3.2057142857142895,3.27,1.295,4.3011,1.955,3.8995,5.190238095
2005-08-31,3.23260869565217,3.3,1.365,4.3249,1.928,3.9204545454545503,5.218695652
2005-09-30,3.06772727272727,3.13,1.45,4.2109,1.95,3.868571428571431,5.186363636
2005-10-31,3.23857142857143,3.29,1.513,4.3482,2.097,4.047,5.400238095
2005-11-30,3.44818181818182,3.5,1.454,4.3129,2.184,4.107142857142859,5.435227273
2005-12-31,3.3376190476190497,3.38,1.4880000000000002,4.2186,1.96,4.041,5.3465
2006-01-31,3.32136363636364,3.34,1.547,4.0752,2.153,4.0290476190476205,5.2035
2006-02-28,3.4725,3.51,1.598,4.1543,2.252,4.17,5.272
2006-03-31,3.6373913043478296,3.69,1.759,4.3177,2.517,4.199565217391299,5.341304348
2006-04-30,3.895,3.95,1.956,4.5177,2.752,4.415789473684209,5.579705882000001
2006-05-31,3.96272727272727,4.0,1.849,4.6488,2.7,4.39954545454545,5.75
